Mes,Cuota Mensual,Intereses,Amortizacion,Monto Restante,Estado
1,31976.4,3750,28226.4,871774,NO PAGADO
2,31976.4,3632.39,28344,843430,NO PAGADO
3,31976.4,3514.29,28462.1,814967,NO PAGADO
4,31976.4,3395.7,28580.7,786387,NO PAGADO
5,31976.4,3276.61,28699.8,757687,NO PAGADO
6,31976.4,3157.03,28819.4,728867,NO PAGADO
7,31976.4,3036.95,28939.5,699928,NO PAGADO
8,31976.4,2916.37,29060.1,670868,NO PAGADO
9,31976.4,2795.28,29181.1,641687,NO PAGADO
10,31976.4,2673.7,29302.7,612384,NO PAGADO
11,31976.4,2551.6,29424.8,582959,NO PAGADO
12,31976.4,2429,29547.4,553412,NO PAGADO
13,31976.4,2305.88,29670.5,523741,NO PAGADO
14,31976.4,2182.26,29794.2,493947,NO PAGADO
15,31976.4,2058.11,29918.3,464029,NO PAGADO
16,31976.4,1933.45,30043,433986,NO PAGADO
17,31976.4,1808.27,30168.2,403818,NO PAGADO
18,31976.4,1682.57,30293.9,373524,NO PAGADO
19,31976.4,1556.35,30420.1,343104,NO PAGADO
20,31976.4,1429.6,30546.8,312557,NO PAGADO
21,31976.4,1302.32,30674.1,281883,NO PAGADO
22,31976.4,1174.51,30801.9,251081,NO PAGADO
23,31976.4,1046.17,30930.3,220151,NO PAGADO
24,31976.4,917.294,31059.1,189091,NO PAGADO
25,31976.4,787.881,31188.5,157903,NO PAGADO
26,31976.4,657.929,31318.5,126584,NO PAGADO
27,31976.4,527.435,31449,95135.4,NO PAGADO
28,31976.4,396.397,31580,63555.4,NO PAGADO
29,31976.4,264.814,31711.6,31843.7,NO PAGADO
30,31976.4,132.682,31843.7,0.00195312,NO PAGADO
