Mes,Cuota Mensual,Intereses,Amortizacion,Monto Restante,Estado
1,59.9418,8.33333,51.6085,1948.39,NO PAGADO
2,59.9418,8.1183,51.8235,1896.57,NO PAGADO
3,59.9418,7.90237,52.0394,1844.53,NO PAGADO
4,59.9418,7.68554,52.2563,1792.27,NO PAGADO
5,59.9418,7.4678,52.474,1739.8,NO PAGADO
6,59.9418,7.24916,52.6926,1687.11,NO PAGADO
7,59.9418,7.02961,52.9122,1634.19,NO PAGADO
8,59.9418,6.80914,53.1327,1581.06,NO PAGADO
9,59.9418,6.58775,53.354,1527.71,NO PAGADO
10,59.9418,6.36545,53.5763,1474.13,NO PAGADO
11,59.9418,6.14221,53.7996,1420.33,NO PAGADO
12,59.9418,5.91805,54.0238,1366.31,NO PAGADO
13,59.9418,5.69295,54.2488,1312.06,NO PAGADO
14,59.9418,5.46691,54.4749,1257.58,NO PAGADO
15,59.9418,5.23993,54.7019,1202.88,NO PAGADO
16,59.9418,5.01201,54.9298,1147.95,NO PAGADO
17,59.9418,4.78313,55.1587,1092.79,NO PAGADO
18,59.9418,4.5533,55.3885,1037.4,NO PAGADO
19,59.9418,4.32252,55.6193,981.785,NO PAGADO
20,59.9418,4.09077,55.851,925.934,NO PAGADO
21,59.9418,3.85806,56.0837,869.851,NO PAGADO
22,59.9418,3.62438,56.3174,813.533,NO PAGADO
23,59.9418,3.38972,56.5521,756.981,NO PAGADO
24,59.9418,3.15409,56.7877,700.193,NO PAGADO
25,59.9418,2.91747,57.0243,643.169,NO PAGADO
26,59.9418,2.67987,57.2619,585.907,NO PAGADO
27,59.9418,2.44128,57.5005,528.407,NO PAGADO
28,59.9418,2.20169,57.7401,470.667,NO PAGADO
29,59.9418,1.96111,57.9807,412.686,NO PAGADO
30,59.9418,1.71952,58.2223,354.464,NO PAGADO
31,59.9418,1.47693,58.4649,295.999,NO PAGADO
32,59.9418,1.23333,58.7085,237.29,NO PAGADO
33,59.9418,0.988709,58.9531,178.337,NO PAGADO
34,59.9418,0.743072,59.1987,119.138,NO PAGADO
35,59.9418,0.49641,59.4454,59.6931,NO PAGADO
36,59.9418,0.248721,59.6931,-1.14441e-05,NO PAGADO
